task,target,model,seed,rep,mae,r2,n_test
T3,dE_zx,dummy,4,2,1.9874497583559108,-0.0038494736767533677,358
T3,dE_zx,ridge,4,2,2.324369664892627,-0.005067357756753488,358
T3,dE_zx,lgbm,4,2,2.2050247780750873,-0.07905765089334071,358
T3,dE_zx,dummy,4,2,1.7510428049846978,-0.0033749390324917528,358
T3,dE_zx,ridge,4,2,2.2886866478234427,-0.07849937730277512,358
T3,dE_zx,lgbm,4,2,2.0585104079704117,-0.10417341632177624,358
T3,dE_zx,dummy,4,2,3.072075885239923,-0.0011250325555007823,358
T3,dE_zx,ridge,4,2,3.1455993881576987,-0.0006250994955718792,358
T3,dE_zx,lgbm,4,2,3.193876571600845,0.013089944351907246,358
T3,dE_zy,dummy,0,0,2.0738589620478827,-0.002762638188972266,359
T3,dE_zy,ridge,0,0,2.47100663002832,-0.10806404833724237,359
T3,dE_zy,lgbm,0,0,2.3847686119761073,-0.1833485898478704,359
T3,dE_zy,dummy,0,0,2.236706443819326,-0.00043284031315660165,358
T3,dE_zy,ridge,0,0,2.5296887271009623,-0.00763495394426994,358
T3,dE_zy,lgbm,0,0,2.4042198265214134,-0.04389543067910662,358
T3,dE_zy,dummy,0,0,2.0537302839150797,-0.002793097431726066,358
T3,dE_zy,ridge,0,0,2.3840973484717196,-0.0018281027723785481,358
T3,dE_zy,lgbm,0,0,2.3164810751230624,-0.09187057381926778,358
T3,dE_zy,dummy,0,0,1.9116845521619064,-0.0029592041706203442,358
T3,dE_zy,ridge,0,0,2.4934618630512615,-0.09317703911314834,358
T3,dE_zy,lgbm,0,0,2.265622571952458,-0.13858573545232922,358
T3,dE_zy,dummy,0,0,3.0700275380511695,-0.0012858719080781622,358
T3,dE_zy,ridge,0,0,3.1691228809465084,0.0004274077237975682,358
T3,dE_zy,lgbm,0,0,3.2226866656571977,0.0021328633028390165,358
T3,dE_zy,dummy,0,1,2.0738589620478827,-0.0027626381889724883,359
T3,dE_zy,ridge,0,1,2.47100663002832,-0.10806404833724259,359
T3,dE_zy,lgbm,0,1,2.3847686119761073,-0.1833485898478704,359
T3,dE_zy,dummy,0,1,2.236706443819326,-0.00043284031315660165,358
T3,dE_zy,ridge,0,1,2.5296887271009623,-0.007634953944270162,358
T3,dE_zy,lgbm,0,1,2.4042198265214134,-0.04389543067910662,358
T3,dE_zy,dummy,0,1,2.0537302839150797,-0.002793097431726066,358
T3,dE_zy,ridge,0,1,2.3840973484717196,-0.0018281027723787702,358
T3,dE_zy,lgbm,0,1,2.3164810751230624,-0.091870573819268,358
T3,dE_zy,dummy,0,1,1.9116845521619068,-0.0029592041706203442,358
T3,dE_zy,ridge,0,1,2.4934618630512615,-0.09317703911314834,358
T3,dE_zy,lgbm,0,1,2.265622571952458,-0.13858573545232944,358
T3,dE_zy,dummy,0,1,3.0700275380511686,-0.0012858719080781622,358
T3,dE_zy,ridge,0,1,3.1691228809465075,0.0004274077237975682,358
T3,dE_zy,lgbm,0,1,3.2226866656571977,0.0021328633028393496,358
T3,dE_zy,dummy,0,2,2.0738589620478827,-0.002762638188972266,359
T3,dE_zy,ridge,0,2,2.47100663002832,-0.10806404833724259,359
T3,dE_zy,lgbm,0,2,2.3847686119761073,-0.1833485898478704,359
T3,dE_zy,dummy,0,2,2.236706443819326,-0.00043284031315615756,358
T3,dE_zy,ridge,0,2,2.5296887271009623,-0.007634953944269718,358
T3,dE_zy,lgbm,0,2,2.4042198265214134,-0.043895430679106395,358
T3,dE_zy,dummy,0,2,2.05373028391508,-0.002793097431726066,358
T3,dE_zy,ridge,0,2,2.3840973484717196,-0.0018281027723789922,358
T3,dE_zy,lgbm,0,2,2.3164810751230624,-0.091870573819268,358
T3,dE_zy,dummy,0,2,1.9116845521619068,-0.0029592041706207883,358
T3,dE_zy,ridge,0,2,2.493461863051262,-0.09317703911314901,358
T3,dE_zy,lgbm,0,2,2.265622571952458,-0.13858573545232988,358
T3,dE_zy,dummy,0,2,3.0700275380511695,-0.0012858719080781622,358
T3,dE_zy,ridge,0,2,3.1691228809465075,0.0004274077237976792,358
T3,dE_zy,lgbm,0,2,3.2226866656571977,0.0021328633028393496,358
T3,dE_zy,dummy,1,0,2.0738589620478827,-0.002762638188972266,359
T3,dE_zy,ridge,1,0,2.4526539283484388,-0.10278696520963271,359
T3,dE_zy,lgbm,1,0,2.2313814437316872,-0.11128200767529095,359
T3,dE_zy,dummy,1,0,2.236706443819326,-0.0004328403131563796,358
T3,dE_zy,ridge,1,0,2.520603377247321,-0.0071869156735500095,358
T3,dE_zy,lgbm,1,0,2.343132602492636,-0.04101582005383397,358
T3,dE_zy,dummy,1,0,2.05373028391508,-0.002793097431725622,358
T3,dE_zy,ridge,1,0,2.3689619657720185,-0.001994222628273201,358
T3,dE_zy,lgbm,1,0,2.1802333451051514,-0.023715344221943546,358
T3,dE_zy,dummy,1,0,1.9116845521619068,-0.0029592041706205663,358
T3,dE_zy,ridge,1,0,2.4640692468757304,-0.08788505671527691,358
T3,dE_zy,lgbm,1,0,2.1020488654889355,-0.021732471776904294,358
T3,dE_zy,dummy,1,0,3.0700275380511695,-0.0012858719080781622,358
T3,dE_zy,ridge,1,0,3.162255414712184,0.00027647987438972343,358
T3,dE_zy,lgbm,1,0,3.1425922986611763,0.01123069375322916,358
T3,dE_zy,dummy,1,1,2.0738589620478827,-0.0027626381889724883,359
T3,dE_zy,ridge,1,1,2.4526539283484383,-0.10278696520963293,359
T3,dE_zy,lgbm,1,1,2.2313814437316872,-0.11128200767529117,359
T3,dE_zy,dummy,1,1,2.236706443819326,-0.0004328403131559355,358
T3,dE_zy,ridge,1,1,2.520603377247321,-0.0071869156735497874,358
T3,dE_zy,lgbm,1,1,2.3431326024926356,-0.04101582005383375,358
T3,dE_zy,dummy,1,1,2.05373028391508,-0.002793097431725622,358
T3,dE_zy,ridge,1,1,2.368961965772019,-0.001994222628273201,358
