task,scenario,model,seed,f1_macro,mcc,n_test
T4cls,indist_c2db,dummy,2,0.512054571517068,0.024112857136078757,1129
T4cls,indist_c2db,logreg,2,0.8017111601766359,0.6246875521156803,1129
T4cls,indist_c2db,lgbm,2,0.9228994364624887,0.8463563057164051,1129
T4cls,indist_c2db,dummy,3,0.5037144959104481,0.007432632820606289,1128
T4cls,indist_c2db,logreg,3,0.812942216981132,0.6474961214224302,1128
T4cls,indist_c2db,lgbm,3,0.928054955923689,0.8561268983197222,1128
T4cls,indist_c2db,dummy,3,0.5159182378142897,0.03184023055464965,1128
T4cls,indist_c2db,logreg,3,0.8013921557901647,0.6126727091083831,1128
T4cls,indist_c2db,lgbm,3,0.9113283667725336,0.8227034697517557,1128
T4cls,indist_c2db,dummy,3,0.5075759217130683,0.015155525221592395,1127
T4cls,indist_c2db,logreg,3,0.7724936947894814,0.5566146349414821,1127
T4cls,indist_c2db,lgbm,3,0.9017515310459059,0.8036892467770685,1127
T4cls,indist_c2db,dummy,3,0.5016805389264747,0.003364699864932396,1128
T4cls,indist_c2db,logreg,3,0.8020144841392655,0.6177194393465072,1128
T4cls,indist_c2db,lgbm,3,0.9176633540682293,0.8357955886365113,1128
T4cls,indist_c2db,dummy,3,0.5100214655650558,0.020046626261301624,1129
T4cls,indist_c2db,logreg,3,0.7876821814762576,0.5936716251435283,1129
T4cls,indist_c2db,lgbm,3,0.9082199918706813,0.8165878215241675,1129
T4cls,indist_c2db,dummy,4,0.4955786679745539,-0.008839099002089285,1128
T4cls,indist_c2db,logreg,4,0.8067371941910688,0.6246428055923138,1128
T4cls,indist_c2db,lgbm,4,0.9216354989673923,0.8432879923977101,1128
T4cls,indist_c2db,dummy,4,0.5199861517822368,0.03997609646599744,1128
T4cls,indist_c2db,logreg,4,0.7945746775935455,0.6032452720489179,1128
T4cls,indist_c2db,lgbm,4,0.9056264804337597,0.8112548014555919,1128
T4cls,indist_c2db,dummy,4,0.499646581942501,-0.0007032330907414976,1128
T4cls,indist_c2db,logreg,4,0.8046036547642921,0.6198538849814088,1128
T4cls,indist_c2db,lgbm,4,0.8993923286560508,0.7987864884704152,1128
T4cls,indist_c2db,dummy,4,0.5039221477090191,0.00784793363697022,1129
T4cls,indist_c2db,logreg,4,0.7788446470303674,0.5681841408773997,1129
T4cls,indist_c2db,lgbm,4,0.9098534864588688,0.8197235661764442,1129
T4cls,indist_c2db,dummy,4,0.5035063012313581,0.007016246248642846,1127
T4cls,indist_c2db,logreg,4,0.8027176022589181,0.6214195298815743,1127
T4cls,indist_c2db,lgbm,4,0.9348860722926371,0.8697798173812951,1127
T4cls,indist_jarvis2d,dummy,0,0.5294365160068726,0.05987541628177858,220
T4cls,indist_jarvis2d,logreg,0,0.7781683039958515,0.577551077443105,220
T4cls,indist_jarvis2d,lgbm,0,0.9045691150954309,0.8161821366630235,220
T4cls,indist_jarvis2d,dummy,0,0.5268646408839779,0.05513521463747194,221
T4cls,indist_jarvis2d,logreg,0,0.7348863160831357,0.4926060083709793,221
T4cls,indist_jarvis2d,lgbm,0,0.8354217257568399,0.6709228132876774,221
T4cls,indist_jarvis2d,dummy,0,0.49857989410568393,-0.001967736685316667,220
T4cls,indist_jarvis2d,logreg,0,0.8188235294117647,0.6543216580885639,220
T4cls,indist_jarvis2d,lgbm,0,0.9132834055971619,0.8269350411808647,220
T4cls,indist_jarvis2d,dummy,0,0.48107734806629837,-0.037341801008425365,221
T4cls,indist_jarvis2d,logreg,0,0.7852283770651117,0.584382129819565,221
T4cls,indist_jarvis2d,lgbm,0,0.8564002599090318,0.7136225528417293,221
T4cls,indist_jarvis2d,dummy,0,0.46581491712707185,-0.06732591536133509,221
T4cls,indist_jarvis2d,logreg,0,0.7461789910769503,0.5020396457042059,221
T4cls,indist_jarvis2d,lgbm,0,0.8931629834254143,0.7899019946303141,221
T4cls,indist_jarvis2d,dummy,1,0.5140082050562783,0.02895383979823096,220
