run_stamp,task,model,seed,repeat,fold,f1_macro,mcc,bal_acc,n_test
20260809-204550,T1,lgbm,0,2.0,4.0,0.8708333333333333,0.7416666666666667,0.8708333333333333,31.0
20260809-204550,T1,lgbm,0,2.0,3.0,0.6898496240601504,0.40105559244984246,0.6930147058823529,33.0
20260809-204550,T1,lgbm,0,2.0,2.0,0.625,0.2549019607843137,0.6274509803921569,32.0
20260809-204550,T1,lgbm,0,2.0,0.0,0.5078577336641853,0.037183387739430016,0.5179738562091504,35.0
20260809-204550,T1,logreg,1,0.0,2.0,0.6333333333333333,0.28578699785818873,0.6397058823529411,33.0
20260809-204550,T1,lgbm,0,1.0,1.0,0.3327205882352941,-0.33210558207753577,0.3345588235294118,33.0
20260809-204550,T1,logreg,0,1.0,3.0,0.3660262891809909,-0.20674627127277811,0.41544117647058826,33.0
20260809-204550,T1,logreg,0,0.0,3.0,0.6360294117647058,0.27675465173127983,0.6378676470588236,33.0
20260809-204550,T1,logreg,0,0.0,2.0,0.6739319965126417,0.35856858280031806,0.6764705882352942,34.0
20260809-204550,T1,logreg,0,0.0,1.0,0.5607843137254902,0.12156862745098039,0.5607843137254902,32.0
20260809-204550,T1,logreg,0,0.0,0.0,0.5142857142857142,0.06286946134619316,0.5294117647058824,34.0
20260809-204550,T1,dummy_stratified,0,0.0,4.0,0.4789915966386554,-0.0043701886126703065,0.49789915966386555,31.0
20260809-204550,T1,dummy_stratified,0,0.0,3.0,0.6001863932898416,0.22917462425705282,0.6102941176470589,33.0
20260809-204550,T1,dummy_stratified,0,0.0,2.0,0.5228070175438597,0.06052275326688024,0.5294117647058824,34.0
20260809-204550,T1,dummy_stratified,0,0.0,1.0,0.365079365079365,-0.24309494690922778,0.38431372549019605,32.0
20260809-204550,T1,dummy_stratified,0,0.0,0.0,0.5824561403508772,0.18156825980064073,0.5882352941176471,34.0
20260809-204550,T1,dummy_majority,0,0.0,4.0,0.3541666666666667,0.0,0.5,31.0
20260809-204550,T1,dummy_majority,0,0.0,3.0,0.34,0.0,0.5,33.0
20260809-204550,T1,dummy_majority,0,0.0,2.0,0.3333333333333333,0.0,0.5,34.0
20260809-204550,T1,dummy_majority,0,0.0,1.0,0.3469387755102041,0.0,0.5,32.0
20260809-204550,T1,dummy_majority,0,0.0,0.0,0.3333333333333333,0.0,0.5,34.0
20260809-204550,T1,dummy_stratified,2,1.0,4.0,0.4285714285714286,-0.11124684011100254,0.44705882352941173,32.0
20260809-204550,T1,logreg,0,0.0,4.0,0.5826193390452876,0.3069966278984953,0.6134453781512605,31.0
20260809-204550,T1,logreg,0,1.0,4.0,0.7490196078431373,0.4980392156862745,0.7490196078431373,32.0
20260809-204550,T1,lgbm,0,0.0,0.0,0.3758454106280193,-0.1543033499620919,0.4411764705882353,34.0
20260809-204550,T1,lgbm,0,0.0,2.0,0.6693191865605659,0.36927447293799825,0.6764705882352942,34.0
20260809-204550,T1,logreg,0,1.0,2.0,0.7573529411764706,0.520298745254806,0.7591911764705883,33.0
20260809-204550,T1,logreg,0,1.0,1.0,0.5722222222222222,0.14870813293635052,0.5735294117647058,33.0
20260809-204550,T1,logreg,0,1.0,0.0,0.5722222222222222,0.16169527510397522,0.5790441176470589,33.0
