feature,shap,coef,shap_rank,coef_rank
comp_maximum_NpValence,0.00016957906469653459,0.09333018668182261,119.0,45.5
comp_range_NpValence,0.00012000176576299988,0.09333018668182261,121.0,45.5
comp_mean_NpValence,0.017717403160387078,0.1083178445414216,66.0,30.0
comp_avg_dev_NpValence,0.030014269346312985,0.0980329446602577,57.0,41.0
comp_mode_NpValence,1.0418280877108123e-05,0.10121338246672378,126.0,39.0
comp_minimum_NdValence,0.005657081967070969,0.03915149691951037,87.0,117.0
comp_maximum_NdValence,0.010460741796617878,0.1224197166619474,80.0,18.0
comp_range_NdValence,0.07877840772378766,0.11350231416294004,40.0,26.0
comp_mean_NdValence,0.018941747829345466,0.1203673648837198,65.0,19.0
comp_avg_dev_NdValence,0.07070890666684843,0.11492135133036395,41.0,22.0
comp_mode_NdValence,1.9593873597290526e-05,0.03801631420157914,124.0,118.0
comp_minimum_NfValence,0.0,0.0,135.5,136.0
comp_maximum_NfValence,0.0004862833919363097,0.10576646488574502,111.0,33.5
comp_range_NfValence,0.0003249631707300189,0.10576646488574502,113.0,33.5
comp_mean_NfValence,0.00019385528932340344,0.05130174764142481,118.0,92.0
comp_avg_dev_NfValence,0.0004387815081594026,0.059857276331704005,112.0,81.0
comp_mode_NfValence,0.0,0.0,135.5,136.0
comp_minimum_NValence,0.07894318022864132,0.1171072429783031,39.0,21.0
comp_maximum_NValence,0.1538394183949662,0.06900886881858223,20.0,61.0
comp_range_NValence,0.11935700262752262,0.06889784378174246,30.0,62.0
comp_mean_NValence,0.09872528043761153,0.11432745086870762,34.0,23.0
comp_avg_dev_NValence,0.16388875518311843,0.15868079914330877,18.0,8.0
comp_mode_NValence,0.001914136191849019,0.028508496663852335,102.0,125.0
comp_minimum_NsUnfilled,0.0,0.0,135.5,136.0
comp_maximum_NsUnfilled,0.004597098781263385,0.06240027233959382,91.0,71.5
comp_range_NsUnfilled,0.0005754421417050785,0.06240027233959382,109.0,71.5
comp_mean_NsUnfilled,0.030327335064593584,0.10727757331488808,56.0,32.0
comp_avg_dev_NsUnfilled,0.004107698713555618,0.0905803370163388,94.0,47.0
comp_mode_NsUnfilled,0.0,0.01384466695024984,135.5,127.0
comp_minimum_NpUnfilled,0.0,0.0,135.5,136.0
comp_maximum_NpUnfilled,0.016956875315541898,0.12987565889865565,67.0,16.5
comp_range_NpUnfilled,0.006011640629096665,0.12987565889865565,85.0,16.5
comp_mean_NpUnfilled,0.014892732686941877,0.06867401693373412,70.0,65.0
comp_avg_dev_NpUnfilled,0.4326421885962897,0.07726340778841187,4.0,53.0
comp_mode_NpUnfilled,1.0530566059918923e-05,0.14495014954019872,125.0,9.0
