formula,qx,qy,sg,theta,phi,label4,label2,label_src,group_id,uid,uid_ambiguous,Qmin_raw,bandwidth,_merge
Al2MnS4,0.36,0.28,P3m1,74.0,29.0,NC,non_collinear,Q-based,P3m1|Mn,1MnAl2S4-2,False,"[0.3611111111111111, 0.27777777777777773, 0.0]",307.7761384449431,both
Al2MnTe4,0.5,0.0,P-3m1,88.0,30.0,AFM_collinear,collinear,Table2,P-3m1|Mn,1MnAl2Te4-1,False,"[0.5, 0.0, 0.0]",45.51968851070143,both
Bi2MnS4,0.3333333333333333,0.3333333333333333,P-3m1,90.0,328.0,NC,non_collinear,Q-based,P-3m1|Mn,1MnBi2S4-1,False,"[0.3333333333333333, 0.3333333333333333, 0.0]",27.596944380277932,both
Bi2MnSe4,0.3333333333333333,0.3333333333333333,P-3m1,90.0,240.0,NC,non_collinear,Q-based,P-3m1|Mn,1MnBi2Se4-1,False,"[0.3333333333333333, 0.3333333333333333, 0.0]",22.541561169376223,both
Bi2MnTe4,0.3333333333333333,0.3333333333333333,P-3m1,76.0,265.0,NC,non_collinear,Q-based,P-3m1|Mn,1MnBi2Te4-1,False,"[0.3333333333333333, 0.3333333333333333, 0.0]",22.880852723730527,both
MnBr2,0.3333333333333333,0.3333333333333333,P-3m1,90.0,236.0,NC,non_collinear,Q-based,P-3m1|Mn,1MnBr2-1,False,"[0.3333333333333333, 0.3333333333333333, 0.0]",20.136785163824555,both
MnBr2,0.5,0.5,P-4m2,90.0,314.0,AFM_collinear,collinear,Table2,P-4m2|Mn,1MnBr2-2,False,"[0.5, 0.5, 0.0]",117.59750950024994,both
MnCl2,0.3333333333333333,0.3333333333333333,P-3m1,56.0,319.0,NC,non_collinear,Q-based,P-3m1|Mn,1MnCl2-1,False,"[0.3333333333333333, 0.3333333333333333, 0.0]",20.489280180552072,both
MnCl2,0.5,0.5,P-4m2,90.0,226.0,AFM_collinear,collinear,Table2,P-4m2|Mn,1MnCl2-2,False,"[0.5, 0.5, 0.0]",137.56829952369642,both
Ga2MnS4,0.3333333333333333,0.3333333333333333,P3m1,40.0,276.0,NC,non_collinear,Q-based,P3m1|Mn,1MnGa2S4-2,False,"[0.3333333333333333, 0.3333333333333333, 0.0]",243.57491027268452,both
Ga2MnSe4,0.5,0.0,P-3m1,88.0,352.0,AFM_collinear,collinear,Table2,P-3m1|Mn,1MnGa2Se4-1,False,"[0.5, 0.0, 0.0]",44.51676093565737,both
MnI2,0.3333333333333333,0.3333333333333333,P-3m1,0.0,0.0,NC,non_collinear,Q-based,P-3m1|Mn,1MnI2-1,False,"[0.3333333333333333, 0.3333333333333333, 0.0]",21.32069544667914,both
MnI2,0.5,0.5,P-4m2,0.0,0.0,AFM_collinear,collinear,Table2,P-4m2|Mn,1MnI2-2,False,"[0.5, 0.5, 0.0]",105.58432533310125,both
In2MnS4,0.3333333333333333,0.3333333333333333,P-3m1,90.0,266.0,NC,non_collinear,Q-based,P-3m1|Mn,1MnIn2S4-1,False,"[0.3333333333333333, 0.3333333333333333, 0.0]",43.492378972324275,both
In2MnSe4,0.31,0.31,P-3m1,90.0,60.0,NC,non_collinear,Q-based,P-3m1|Mn,1MnIn2Se4-1,False,"[0.30952380952380953, 0.30952380952380953, 0.0]",51.867927547377235,both
In2MnSe4,0.5,0.0,P3m1,8.0,202.0,AFM_collinear,collinear,Table2,P3m1|Mn,1MnIn2Se4-2,False,"[0.5, 0.0, 0.0]",99.26571193764744,both
MnNiS2Se2,0.23,0.0,Pm,44.0,276.0,NC,non_collinear,Q-based,Pm|Mn-Ni,1MnNiS2Se2-1,False,,,left_only
MnO2,0.1428571428571428,0.1428571428571428,P-3m1,88.0,152.0,NC,non_collinear,Q-based,P-3m1|Mn,1MnO2-1,False,"[0.14285714285714285, 0.14285714285714285, 0.0]",23.564302658236613,both
MnO2,0.0,0.0,P-6m2,0.0,0.0,FM,collinear,Q=Gamma,P-6m2|Mn,1MnO2-3,False,"[0.0, 0.0, 0.0]",21.760932750840567,both
MnS2,0.12,0.12,P-3m1,2.0,0.0,NC,non_collinear,Q-based,P-3m1|Mn,1MnS2-1,False,"[0.11904761904761907, 0.11904761904761907, 0.0]",48.83603011913351,both
MnS2,0.5,0.5,P-4m2,90.0,224.0,AFM_collinear,collinear,Table2,P-4m2|Mn,1MnS2-3,False,"[0.5, 0.5, 0.0]",42.00669821053182,both
MnScBr6,0.22,-0.44,C2,90.0,200.0,NC,non_collinear,Q-based,C2|Mn-Sc,1MnScBr6-1,False,,,left_only
MnSe2,0.1,0.1,P-3m1,0.0,0.0,NC,non_collinear,Q-based,P-3m1|Mn,1MnSe2-1,False,"[0.09523809523809526, 0.09523809523809526, 0.0]",45.449059985990914,both
MnTe2,0.1,0.1,P-3m1,78.0,149.0,NC,non_collinear,Q-based,P-3m1|Mn,1MnTe2-1,False,"[0.09523809523809526, 0.09523809523809526, 0.0]",45.22299245652661,both
MnTe2,0.3333333333333333,0.3333333333333333,P-6m2,0.0,0.0,NC,non_collinear,Q-based,P-6m2|Mn,1MnTe2-2,False,"[0.3333333333333333, 0.3333333333333333, 0.0]",112.21494548434308,both
MnZrBr6,0.3333333333333333,0.3333333333333333,P312,14.0,254.0,NC,non_collinear,Q-based,P312|Mn-Zr,1MnZrBr6-1,False,"[0.3333333333333333, 0.3333333333333333, 0.0]",1.8926801853638153,both
