model,seed,rep,fold,f1_macro,mcc,bal_acc,cfg,sec,vram_mb
cgcnn,1,0,4,0.611336032388664,0.3090317389932938,0.6392156862745098,"{""node_d"": 64, ""n_conv"": 4, ""fc_d"": 32, ""lr"": 0.001, ""weight_decay"": 0.0, ""dropout"": 0.1, ""batch"": 16}",391.0,51.2
cgcnn,1,1,0,0.2916666666666667,-0.3364192474471549,0.3715277777777778,"{""node_d"": 64, ""n_conv"": 2, ""fc_d"": 32, ""lr"": 0.003, ""weight_decay"": 1e-05, ""dropout"": 0.1, ""batch"": 32}",269.4,42.1
cgcnn,1,1,1,0.5465587044534412,0.169749828461105,0.5764705882352942,"{""node_d"": 128, ""n_conv"": 3, ""fc_d"": 64, ""lr"": 0.01, ""weight_decay"": 0.0, ""dropout"": 0.0, ""batch"": 16}",435.8,43.1
cgcnn,1,1,2,0.6125,0.2301275374078238,0.6145833333333333,"{""node_d"": 128, ""n_conv"": 4, ""fc_d"": 32, ""lr"": 0.01, ""weight_decay"": 0.0, ""dropout"": 0.0, ""batch"": 16}",409.1,47.6
cgcnn,1,1,3,0.5882352941176471,0.1764705882352941,0.5882352941176471,"{""node_d"": 64, ""n_conv"": 2, ""fc_d"": 64, ""lr"": 0.001, ""weight_decay"": 1e-05, ""dropout"": 0.0, ""batch"": 16}",374.4,49.2
cgcnn,1,1,4,0.4761904761904761,0.0584282940553503,0.5238970588235294,"{""node_d"": 128, ""n_conv"": 4, ""fc_d"": 128, ""lr"": 0.003, ""weight_decay"": 0.0, ""dropout"": 0.1, ""batch"": 32}",401.1,63.1
cgcnn,1,2,0,0.3888888888888888,-0.2105798931586654,0.3970588235294118,"{""node_d"": 32, ""n_conv"": 3, ""fc_d"": 32, ""lr"": 0.001, ""weight_decay"": 1e-05, ""dropout"": 0.3, ""batch"": 32}",395.5,66.2
cgcnn,1,2,1,0.5104895104895105,0.1205796739024119,0.5506535947712419,"{""node_d"": 32, ""n_conv"": 2, ""fc_d"": 64, ""lr"": 0.001, ""weight_decay"": 0.0, ""dropout"": 0.3, ""batch"": 16}",260.0,39.4
cgcnn,1,2,2,0.4420512820512821,-0.0928840728025647,0.4568627450980392,"{""node_d"": 32, ""n_conv"": 4, ""fc_d"": 128, ""lr"": 0.003, ""weight_decay"": 0.0, ""dropout"": 0.3, ""batch"": 16}",478.9,59.6
cgcnn,1,2,3,0.5195195195195195,0.0485071250072665,0.5235294117647059,"{""node_d"": 64, ""n_conv"": 3, ""fc_d"": 32, ""lr"": 0.003, ""weight_decay"": 0.0, ""dropout"": 0.0, ""batch"": 16}",373.1,41.1
cgcnn,1,2,4,0.5333333333333333,0.1443375672974064,0.5625,"{""node_d"": 32, ""n_conv"": 3, ""fc_d"": 128, ""lr"": 0.01, ""weight_decay"": 0.0001, ""dropout"": 0.1, ""batch"": 16}",328.6,41.7
cgcnn,2,0,0,0.4522019334049409,0.122205929184461,0.5347222222222222,"{""node_d"": 128, ""n_conv"": 2, ""fc_d"": 32, ""lr"": 0.003, ""weight_decay"": 0.0, ""dropout"": 0.3, ""batch"": 16}",251.3,52.7
cgcnn,2,0,1,0.5147058823529411,0.0294117647058823,0.5147058823529411,"{""node_d"": 128, ""n_conv"": 2, ""fc_d"": 64, ""lr"": 0.01, ""weight_decay"": 1e-05, ""dropout"": 0.3, ""batch"": 16}",315.3,43.3
cgcnn,2,0,2,0.5835835835835836,0.1778594583599775,0.5862745098039216,"{""node_d"": 128, ""n_conv"": 3, ""fc_d"": 128, ""lr"": 0.001, ""weight_decay"": 1e-05, ""dropout"": 0.1, ""batch"": 32}",389.2,51.6
cgcnn,2,0,3,0.3870967741935484,-0.225,0.3875,"{""node_d"": 32, ""n_conv"": 4, ""fc_d"": 64, ""lr"": 0.01, ""weight_decay"": 0.0, ""dropout"": 0.3, ""batch"": 32}",420.2,43.8
cgcnn,2,0,4,0.5228070175438597,0.0605227532668802,0.5294117647058824,"{""node_d"": 64, ""n_conv"": 3, ""fc_d"": 128, ""lr"": 0.01, ""weight_decay"": 0.0001, ""dropout"": 0.3, ""batch"": 16}",348.2,45.1
cgcnn,2,1,0,0.4107142857142857,-0.1243364742283189,0.4466911764705882,"{""node_d"": 128, ""n_conv"": 4, ""fc_d"": 32, ""lr"": 0.003, ""weight_decay"": 1e-05, ""dropout"": 0.0, ""batch"": 32}",418.3,63.7
cgcnn,2,1,1,0.543778801843318,0.0885614885540095,0.5441176470588236,"{""node_d"": 64, ""n_conv"": 3, ""fc_d"": 64, ""lr"": 0.01, ""weight_decay"": 0.0001, ""dropout"": 0.1, ""batch"": 16}",339.9,32.6
cgcnn,2,1,2,0.5037593984962406,0.0229174624257052,0.5110294117647058,"{""node_d"": 128, ""n_conv"": 2, ""fc_d"": 32, ""lr"": 0.01, ""weight_decay"": 1e-05, ""dropout"": 0.0, ""batch"": 16}",379.9,42.1
cgcnn,2,1,3,0.4829493087557603,-0.0260239232638613,0.4871323529411764,"{""node_d"": 64, ""n_conv"": 2, ""fc_d"": 64, ""lr"": 0.003, ""weight_decay"": 1e-05, ""dropout"": 0.1, ""batch"": 16}",158.8,41.4
cgcnn,2,1,4,0.397563676633444,-0.1303589814791738,0.4490196078431372,"{""node_d"": 64, ""n_conv"": 3, ""fc_d"": 64, ""lr"": 0.01, ""weight_decay"": 1e-05, ""dropout"": 0.3, ""batch"": 16}",113.0,61.1
cgcnn,2,2,0,0.2666666666666666,-0.4647129154260954,0.2702205882352941,"{""node_d"": 32, ""n_conv"": 2, ""fc_d"": 64, ""lr"": 0.01, ""weight_decay"": 0.0001, ""dropout"": 0.1, ""batch"": 16}",111.4,48.1
